trip_id,vessel_name,mmsi,imo,vessel_owner,recruiting_agency,owner_flag,flag_vessel_flies,date_range_start,date_range_end,time_at_sea,fishing_ground_s,species_fished,gears_used,starting_port,government_body_involved,known_transshipment,entry_source,public_reference,general_comments,forced_l_indicator,known_non_offender,known_offender,possible_offender,source,notes,x27,x28,x29,x30
68,Ruang Larp 10,480003587,NA,Mr. Somchai Jettanapornsamran,NA,Thailand,NA,2015,2016,NA,Saya de Malha Bank,NA,Gillnetter,NA,NA,NA,SFG,Yes,"One high risk area. Sister vessel to Ruang Larp 8, doing IUU in Mauritius some years earlier",NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Page 49,NA,NA,NA,NA
69,Century 4,NA,NA,Mr. Kitpohkha,NA,Thailand,NA,NA,12 2014,NA,Indonesia/PNG,NA,NA,NA,yes,NA,SFG,Yes,"Blown by Indonesia, IUU. Owner related to some other vessels on risk areas",NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Page 50,NA,NA,NA,NA
70,Century 7,NA,NA,Mr. Kitpohkha,NA,Thailand,NA,NA,12 2014,NA,Indonesia/PNG,NA,NA,NA,yes,NA,SFG,Yes,"Blown by Indonesia, IUU. Owner related to some other vessels on risk areas",NA,0,0,1,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Page 50,NA,NA,NA,NA
71,Supphermnavee 2,397400016,NA,Wichai Saengsukiam,NA,Thailand,Thailand,NA,01 2016?,NA,NA,NA,Trawl,NA,yes,NA,SFG,Yes,"Transhipping with Blissfull Reefer and Wisdom Sea Reefer. interview with government officials, victims of exploitation and abuse. Crew paying recruitment fees, not payed in years, some working aboard the vessel for 5 years. Other IUU violations such as gear type. Government inspection at sea on January 2016non authorized.","Abusive conditions, Debt bondage, Withholding od wages",0,1,0,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Page 54,Page 27/28,NA,NA,NA
72,Supphermnavee 48,530002540,NA,Wichai Saengsukiam,NA,Thailand,Thailand,NA,01 2016?,NA,NA,NA,Trawl,NA,yes,NA,SFG,Yes,"Transhipping with Blissfull Reefer and Wisdom Sea Reefer. interview with government officials, victims of exploitation and abuse. Crew paying recruitment fees, not payed in years, some working aboard the vessel for 5 years. Other IUU violations such as gear type. Government inspection at sea on January 2016non authorized.","Abusive conditions, Debt bondage, Withholding od wages",0,1,0,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Page 54,Page 27/28,NA,NA,NA
73,Chainavee 17,327402501,NA,Wichai Saengsukiam,NA,Thailand,Thailand,NA,01 2016?,NA,NA,NA,Trawl,NA,yes,NA,SFG,Yes,"Transhipping with Blissfull Reefer and Wisdom Sea Reefer. interview with government officials, victims of exploitation and abuse. Crew paying recruitment fees, not payed in years, some working aboard the vessel for 5 years. Other IUU violations such as gear type. Government inspection at sea on January 2016non authorized.","Abusive conditions, Debt bondage, Withholding od wages",0,1,0,http://www.greenpeace.org/seasia/PageFiles/745330/Turn-The-Tide.pdf,Page 54,Page 27/28,NA,NA,NA
74,Leg0Naydenov (former Oleg Naydenov),273526800,8607309,NA,NA,NA,Russia,NA,December 2013,NA,Senegal,NA,NA,NA,yes,NA,SFG,Yes,"Illegal fishing in Senegal, forced labor suspicion. Sailors did not dare leave the boat for fear of losing their payroll or being unable to return home. Seized by Senegal","Abusive conditions, Withholding of wages",0,1,0,https://www.interpol.int/Media/Files/Crime-areas/Environmental-crime/INTERPOL-Study-on-Fisheries-Crime-in-the-West-African-Coastal-Region-20142/,NA,NA,NA,NA,NA
75,Apsari-3,NA,7051204,NA,NA,NA,NA,NA,early 2010,NA,Sierra Leone,NA,NA,Las Palmas,yes,NA,SFG,Yes,"IUU, 2 year contracts, no chance to return home. Crew from South Korea, China, Vietnam, indonesia, Sierra Leone. Arrested by Sierra Leona armed forces.",Abusive working and living conditions,0,1,0,https://ejfoundation.org//resources/downloads/report-all-at-sea_0_1.pdf,NA,NA,NA,NA,NA
76,Lian Run 14,627127000,NA,NA,NA,Ghana,NA,NA,early 2010,NA,West Africa,NA,NA,Las Palmas,yes,NA,SFG,Yes,"IUU. Arrested for fishing without license, Guinea. Fishing for 2 years at a time. Several passports removed, extreme unsafe hygiene conditions.","Abusive working and living conditions, Retention of identity documents",0,1,0,https://ejfoundation.org//resources/downloads/report-all-at-sea_0_1.pdf,NA,NA,NA,NA,NA
77,Luanda 11,NA,7231658,Inter-Burgo,NA,South Korea,NA,NA,2010,NA,Sierra Leone,NA,NA,NA,yes,NA,SFG,Yes,"IUU. Fishing without a license and inside the IEZ of Sierra Leona. Suspect of poor treatment of crew. Company accused in Liberia by the United Seamen, Ports and General Workers Union of owin wages to workers.",NA,0,0,1,https://ejfoundation.org//resources/downloads/report-all-at-sea_0_1.pdf,NA,NA,NA,NA,NA
78,Seta 70,NA,9249001,Inter-Burgo,NA,South Korea,NA,NA,2010,NA,West Africa / Liberia,NA,NA,NA,NA,NA,SFG,Yes,"IUU. Fishing without a license and inside the IEZ of Sierra Leona. Suspect of poor treatment of crew. Company accused in Liberia by the United Seamen, Ports and General Workers Union of owin wages to workers.",NA,0,0,1,https://ejfoundation.org//resources/downloads/report-all-at-sea_0_1.pdf,NA,NA,NA,NA,NA
79,Hai Feng 827,NA,7379383,NA,NA,NA,NA,NA,January 2010,NA,Sierra Leone,NA,Reefer,NA,yes,NA,SFG,Yes,"Serious safety deficiencies, arrested in Sierra Leona.",Abusive working and living conditions,0,1,0,https://ejfoundation.org//resources/downloads/report-all-at-sea_0_1.pdf,NA,NA,NA,NA,NA
80,See god II,NA,9099676,NA,NA,NA,NA,NA,January 2010,NA,Sierra Leone,NA,NA,NA,NA,NA,SFG,Yes,IUU. Suspect of poor treatment of crew. Awful living conditions.,Abusive working and living conditions,0,1,0,https://ejfoundation.org//resources/downloads/report-all-at-sea_0_1.pdf,NA,NA,NA,NA,NA
81,Tunago 61,576678000,8996061,Tunago Shipping,NA,Taiwan,Vanuatu,42497,September 2016,NA,American Samoa,NA,NA,"Kaohsiung, Taiwan",NA,NA,SFG,Yes,"Violence conditions, punishments. Captain murdered, 6 indonesian crew members in prison in Vanuatu. Notes from the Supreme Court say that evidence suggests the six men had been subjected to discrimination, mistreatment, verbal and physical abuse by the captain. Mitigating factor in their sentencing. 1 hour sleep sometimes. Abuse of Vulnerability, Deception, Physical abuse, Isolation, Intimidation, Abusive working conditions, Retention of Identity documents, Excessive overtime.","Physical violence, I\ntimidation an threats, Restriction of movement, Excessive overtime",0,1,0,https://ejfoundation.org//resources/downloads/report-all-at-sea_0_1.pdf,https://www.greenpeace.org/new-zealand/publication/misery-at-sea/,NA,NA,NA,NA
82,Min Yu 701,NA,NA,NA,NA,NA,NA,NA,November 2009,NA,Sierra Leone,NA,NA,NA,NA,NA,SFG,Yes,"IUU, low standards of Safety",Abusive working and living conditions,0,1,0,https://ejfoundation.org//resources/downloads/report-all-at-sea_0_1.pdf,NA,NA,NA,NA,NA
83,Abundant 1 (Yi Hong 06),NA,NA,Huang Jia Yi,NA,NA,Bolivia,43070,February 2018,NA,Port in Phuket Province,Tuna,Pelagic Longline,NA,yes,NA,SFG,Yes,"No Bolivian authorization for flag, falsification of Port-in  Port-out, no work permits, human trafficking of 9 indonesia crew, 6 Filipino crew, victims of forced labor, fraudulent reports. 7 vessels impounded whil investigating",Abusive working and living conditions,0,1,0,http://www.mfa.go.th/main/en/news3/6886/86734-Thailand-prosecuted-7-Stateless-Fishing-Vessels.html,http://www.iuuwatch.eu/2016/11/navy-seizes-suspected-iuu-fishing-boats-phuket/,All crew were Filipino and Indonesian and the captains were from Taiwan,http://law.coa.gov.tw/GLRSnewsout/Download.ashx?FileID=11257,Human trafficking,http://iuu-vessels.org/Vessel/GetVessel/de465d79-024d-4a11-a279-1696eba6ea40
84,Abundant 3 (Yi Hong 16),NA,NA,Huang Jia Yi,NA,NA,Bolivia,43070,February 2018,NA,Port in Phuket Province,Tuna,Pelagic Longline,NA,yes,NA,SFG,Yes,"No Bolivian authorization for flag, falsification of Port-in  Port-out, no work permits, human trafficking of 9 indonesia crew, 6 Filipino crew, victims of forced labor, fraudulent reports. 7 vessels impounded whil investigating",Abusive working and living conditions,0,1,0,http://www.mfa.go.th/main/en/news3/6886/86734-Thailand-prosecuted-7-Stateless-Fishing-Vessels.html,http://www.iuuwatch.eu/2016/11/navy-seizes-suspected-iuu-fishing-boats-phuket/,All crew were Filipino and Indonesian and the captains were from Taiwan,http://law.coa.gov.tw/GLRSnewsout/Download.ashx?FileID=11257,NA,NA
85,Abundant 6 (Yi Hong 86),NA,NA,Huang Jia Yi,NA,NA,Bolivia,43070,February 2018,NA,Port in Phuket Province,Tuna,Pelagic Longline,NA,yes,NA,SFG,Yes,"No Bolivian authorization for flag, falsification of Port-in  Port-out, no work permits, human trafficking of 9 indonesia crew, 6 Filipino crew, victims of forced labor, fraudulent reports. 7 vessels impounded whil investigating",Abusive working and living conditions,0,1,0,http://www.mfa.go.th/main/en/news3/6886/86734-Thailand-prosecuted-7-Stateless-Fishing-Vessels.html,http://www.iuuwatch.eu/2016/11/navy-seizes-suspected-iuu-fishing-boats-phuket/,All crew were Filipino and Indonesian and the captains were from Taiwan,http://law.coa.gov.tw/GLRSnewsout/Download.ashx?FileID=11257,NA,NA
86,Abundant 9 (Yi Hong 116),NA,NA,Huang Jia Yi,NA,NA,Bolivia,43070,February 2018,NA,Port in Phuket Province,Tuna,Pelagic Longline,NA,yes,NA,SFG,Yes,"No Bolivian authorization for flag, falsification of Port-in  Port-out, no work permits, human trafficking of 9 indonesia crew, 6 Filipino crew, victims of forced labor, fraudulent reports. 7 vessels impounded whil investigating",Abusive working and living conditions,0,1,0,http://www.mfa.go.th/main/en/news3/6886/86734-Thailand-prosecuted-7-Stateless-Fishing-Vessels.html,http://www.iuuwatch.eu/2016/11/navy-seizes-suspected-iuu-fishing-boats-phuket/,All crew were Filipino and Indonesian and the captains were from Taiwan,http://law.coa.gov.tw/GLRSnewsout/Download.ashx?FileID=11257,NA,NA
87,Abundant 12 (Yi Hong 106),NA,NA,Huang Jia Yi,NA,NA,Bolivia,43070,February 2018,NA,Port in Phuket Province,Tuna,Pelagic Longline,NA,yes,NA,SFG,Yes,"No Bolivian authorization for flag, falsification of Port-in  Port-out, no work permits, human trafficking of 9 indonesia crew, 6 Filipino crew, victims of forced labor, fraudulent reports. 7 vessels impounded whil investigating",Abusive working and living conditions,0,1,0,http://www.mfa.go.th/main/en/news3/6886/86734-Thailand-prosecuted-7-Stateless-Fishing-Vessels.html,http://www.iuuwatch.eu/2016/11/navy-seizes-suspected-iuu-fishing-boats-phuket/,All crew were Filipino and Indonesian and the captains were from Taiwan,NA,NA,NA
88,Yutana No. 13,NA,NA,NA,NA,NA,Bolivia,43070,February 2018,NA,Port in Phuket Province,Tuna,Pelagic Longline,NA,yes,NA,SFG,Yes,"No Bolivian authorization for flag, falsification of Port-in  Port-out, no work permits, human trafficking of 9 indonesia crew, 6 Filipino crew, victims of forced labor, fraudulent reports. 7 vessels impounded whil investigating",Abusive working and living conditions,0,1,0,http://www.mfa.go.th/main/en/news3/6886/86734-Thailand-prosecuted-7-Stateless-Fishing-Vessels.html,http://www.iuuwatch.eu/2016/11/navy-seizes-suspected-iuu-fishing-boats-phuket/,NA,NA,NA,NA
89,Yutuna No. 1,6900440166,NA,Tseng Ming Tsai,NA,Taiwan,Bolivia,December 2017,February 2018,NA,Port in Phuket Province,Tuna,Pelagic Longline,NA,yes,NA,SFG,Yes,"No Bolivian authorization for flag, falsification of Port-in  Port-out, no work permits, human trafficking of 9 indonesia crew, 6 Filipino crew, victims of forced labor, fraudulent reports. 7 vessels impounded whil investigating",NA,0,0,1,http://www.iuuwatch.eu/2016/11/navy-seizes-suspected-iuu-fishing-boats-phuket/,NA,All crew were Filipino and Indonesian and the captains were from Taiwan,NA,NA,NA
90,Yutuna No 3,NA,NA,Yen Shih Hsiung,NA,Taiwan,Bolivia,December 2017,February 2018,NA,Port in Phuket Province,Tuna,Pelagic Longline,NA,yes,NA,SFG,Yes,No Bolivian authorization for flag. Seized in Thailand,NA,0,0,1,http://www.iuuwatch.eu/2016/11/navy-seizes-suspected-iuu-fishing-boats-phuket/,NA,All crew were Filipino and Indonesian and the captains were from Taiwan,NA,NA,NA
91,Shun Lai,NA,NA,Lee Cheng Chung,NA,NA,Bolivia,43070,February 2018,NA,Port in Phuket Province,Tuna,Pelagic Longline,NA,yes,NA,SFG,Yes,"No Bolivian authorization for flag, falsification of Port-in  Port-out, no work permits, human trafficking of 9 indonesia crew, 6 Filipino crew, victims of forced labor, fraudulent reports. 7 vessels impounded whil investigating",Abusive working and living conditions,0,1,0,http://www.mfa.go.th/main/en/news3/6886/86734-Thailand-prosecuted-7-Stateless-Fishing-Vessels.html,http://www.iuuwatch.eu/2016/11/navy-seizes-suspected-iuu-fishing-boats-phuket/,All crew were Filipino and Indonesian and the captains were from Taiwan,NA,NA,NA
92,Sheng Ji Qun 3,6900546023,NA,Chang Lin Pao-Chun,NA,NA,Bolivia,December 2017,February 2018,NA,Port in Phuket Province,Tuna,Pelagic Longline,NA,yes,NA,SFG,Yes,"No Bolivian authorization for flag, falsification of Port-in  Port-out, no work permits, human trafficking of 9 indonesia crew, 6 Filipino crew, victims of forced labor, fraudulent reports. 7 vessels impounded whil investigating",NA,0,0,1,http://www.mfa.go.th/main/en/news3/6886/86734-Thailand-prosecuted-7-Stateless-Fishing-Vessels.html,http://www.iuuwatch.eu/2016/11/navy-seizes-suspected-iuu-fishing-boats-phuket/,All crew were Filipino and Indonesian and the captains were from Taiwan,NA,NA,NA
93,Chotchainavee 35,567000035,NA,NA,NA,NA,Djibouti,NA,2 May 2017,NA,Somaly,NA,NA,NA,yes,NA,SFG,Yes,Illegal fishing (much more than allowed by Somalia). Vessel confiscated by Thailand for IUU. Government monitoring IUU and use of labour.,NA,0,0,1,http://www.mfa.go.th/main/en/news3/6886/86308-The-prosecution-of-the-fishing-vessel-%E2%80%9CChotchainav.html,NA,NA,NA,NA,NA
94,Chotpattana 51,621000015,NA,NA,NA,NA,Somali,NA,January 2018,NA,Maldives,NA,NA,NA,yes,NA,SFG,Yes,"Captured by Maldives authorities (ilegal entry into their waters). Poor conditions of living on board (Cambodian and Thai). Cambodians needed assistance to return home ""rescued"" due to poor conditions of living aboard. Investigation on forced labor.",Abusive working and living conditions,0,1,0,http://www.mfa.go.th/main/en/news3/6886/86308-The-prosecution-of-the-fishing-vessel-%E2%80%9CChotchainav.html,NA,NA,NA,NA,NA
95,Chotpattana 55,621000016,NA,NA,NA,NA,Somali,NA,January 2018,NA,Maldives,NA,NA,NA,yes,NA,SFG,Yes,"Captured by Maldives authorities (ilegal entry into their waters). Poor conditions of living on board (Cambodian and Thai). Cambodians needed assistance to return home ""rescued"" due to poor conditions of living aboard. Investigation on forced labor.",Abusive working and living conditions,0,1,0,http://www.mfa.go.th/main/en/news3/6886/86308-The-prosecution-of-the-fishing-vessel-%E2%80%9CChotchainav.html,NA,NA,NA,NA,NA
96,"STS-50 (Sea Breeze, Andrey Dolgov, STD No. 2)",515844000,8514772,Marine Fisheries Corporation Co,NA,Russia?,Cambodia,NA,04 - 2018,NA,Antartica,Antarctic Toothfish,Longline,NA,yes,NA,SFG,Yes,"8 different flags, gillnets (18 miles) illegal since 2006 in Antarctic waters. Interpol alerted authorities that the vessel was fishing illegaly. Indonesian navy seized the vessel. Indonesian crew lacked travel documents and had been at sea for a long time without pay, indicating they may have been victims of trafficking. Several flags and names.",Withholding of wedges.,0,1,0,http://complianceandethics.org/human-trafficking-in-the-supply-chain/,https://www.reuters.com/article/us-oceans-fishing-indonesia/the-one-that-got-away-indonesia-seizes-illegal-fishing-boat-with-30-km-nets-idUSKBN1HG0SB,NA,NA,NA,NA
97,FV. Viking,NA,8713392,Betex Limited,NA,NA,unknown,NA,02-26-2016,NA,NA,toothfish,NA,NA,yes,NA,SFG,Yes,Human trafficking. indonesia aprehended and undertaken due legal process. Scuttled. Poaching on southern ocean,NA,0,0,1,https://www.iom.int/sites/default/files/country/docs/indonesia/Human-Trafficking-Forced-Labour-and-Fisheries-Crime-in-the-Indonesian-Fishing-Industry-IOM.pdf,NA,NA,NA,NA,NA
98,FV Jiin Horng No. 106 (ex No. 2 Choyu?),NA,8429991,NA,NA,NA,Seychelles/no-flag,NA,02-2016,NA,Somali EEZ,Tuna,Longline,NA,yes,NA,SFG,Yes,Human trafficking. indonesia aprehended and undertaken due legal process,NA,0,0,1,https://www.iom.int/sites/default/files/country/docs/indonesia/Human-Trafficking-Forced-Labour-and-Fisheries-Crime-in-the-Indonesian-Fishing-Industry-IOM.pdf,https://stopillegalfishing.com/wp-content/uploads/2017/03/Illegal-Fishing-Evidence-and-Analysis-WEB.pdf,NA,NA,NA,NA
99,FV. Hua Li 8,412420941,8779774,Zhoushan Huali Ocean Fisheries Co Ltd,NA,NA,China,NA,april 22 - 2016,NA,NA,NA,"Pole and line, handline",NA,yes,NA,SFG,Yes,Human trafficking. indonesia apprehended and undertook due legal process. Also illegal fishing in EEZ of Argentina (04-04-2016),Abusive working and living conditions,0,1,0,https://www.iom.int/sites/default/files/country/docs/indonesia/Human-Trafficking-Forced-Labour-and-Fisheries-Crime-in-the-Indonesian-Fishing-Industry-IOM.pdf,http://en.mercopress.com/2016/04/30/south-atlantic-poacher-hua-li-8-arrested-by-indonesian-for-illegal-fishing,NA,NA,NA,NA
100,MV Golden Wave,NA,NA,NA,NA,NA,South Corea,October 2010,01 Feb 2011,NA,Somalia,Crab,Trawl,NA,LA,NA,LA,Yes,"Captured by pirates, forced to work for them",NA,0,1,0,https://uk.reuters.com/article/somalia-piracy-testimony/somali-pirates-use-captive-crew-to-attack-vessels-hostage-idUKLDE71E1P820110215,NA,NA,NA,NA,NA
101,Tai Hong No.1,412320012,NA,NA,NA,NA,China,NA,16 Feb 2018,NA,Tanzania EEZ,NA,Longline,NA,LA,NA,LA,Yes,"Bad treatment and abuse. Refused food and water, living in small unventilated storage hut, sleeping on the floor. 212 tanzanian fishers liberated.",Abusive working and living conditions.,0,1,0,https://stopillegalfishing.com/news-articles/crew-exploitation-uncovered-western-indian-ocean-fishing-fleet/,NA,NA,NA,NA,NA
102,Jin Sheng No. 2,413270220,9020819,NA,NA,NA,China,NA,16 Feb 2018,NA,Tanzania EEZ,NA,NA,NA,LA,NA,LA,Yes,"Bad treatment and abuse. Refused food and water, living in small unventilated storage hut, sleeping on the floor. 212 tanzanian fishers liberated.",Abusive working and living conditions.,0,1,0,https://stopillegalfishing.com/news-articles/crew-exploitation-uncovered-western-indian-ocean-fishing-fleet/,NA,NA,NA,NA,NA
103,Buah Naga 1,533000000,NA,NA,NA,NA,Malaysia,NA,16 Feb 2018,NA,Tanzania EEZ,NA,NA,NA,LA,NA,LA,Yes,"14 indonesian crewmembers crying out for help, repatriated. Awful living conditions, denied food and water. Captain used gun to threaten.","Abusive working and living conditions, Intimidation and threats",0,1,0,https://stopillegalfishing.com/news-articles/crew-exploitation-uncovered-western-indian-ocean-fishing-fleet/,NA,NA,NA,NA,NA
104,FV Shenghai 9,412201837,NA,NA,NA,NA,China,NA,3 Feb 2017,NA,Liberia,NA,Trawl,NA,LA,NA,LA,Yes,"Violation of 22 laws and regulations. Sierra leone crew in appaling conditions, cocroach infested, exposed to the elements.",Abusive working and living conditons.,0,1,0,https://www.seashepherd.org.au/news-and-commentary/news/sea-shepherd-launches-operation-sola-stella-with-the-liberian-ministry-of-national-defense.html,NA,NA,NA,NA,NA
105,Marcia 707,NA,7205336,NA,NA,NA,South Korea,NA,20 Apr 2011,NA,Sierra Leone inshore exclusion zone,NA,Trawl,NA,LA,NA,LA,Yes,Child labor (14 years old). Unsanitary conditions on vessel. Deploying artisanal vessels to fish in Sierra Leone,Abusive working and living conditons.,0,1,0,https://www.theguardian.com/environment/gallery/2012/oct/11/illegal-fishing-sierra-leone-in-pictures,https://ejfoundation.org/news-media/2011/fish-worth-4m-seized-in-eu-crackdown-on-illegal-fishing,NA,NA,NA,NA
106,Samudera Pasific No. 8,NA,7921162,NA,NA,NA,Stateless (Tanzania today),NA,1 Nov 2013,NA,South African EEZ,Tuna,NA,NA,LA,NA,LA,Yes,"total of 10 ships. these 2 fled Cape Town. 75 Indonesians subject to appaling working and living conditions. Forged vessel registration. Fishers not paid for several months. Working in substandard, unsafe, unhealthy conditions. Fake indonesian documents. 3-5 years without being paid","Abusive working and living conditions, Withholding of wedges",0,1,0,https://fish-i-africa.org/fugitives-from-justice-the-samudera-pasific-no-8-and-berkat-menjala-no-23/,https://www.undercurrentnews.com/2014/01/29/south-africa-detains-tuna-vessels-over-slave-labor/,NA,NA,NA,NA
107,Berkat Menjala  No. 23,NA,8510271,NA,NA,NA,Stateless (Tanzania today),NA,1 Nov 2013,NA,South African EEZ,Tuna,NA,NA,LA,NA,LA,Yes,"total of 10 ships. these 2 fled Cape Town. 75 Indonesians subject to appaling working and living conditions. Forged vessel registration. Fishers not paid for several months. Working in substandard, unsafe, unhealthy conditions. Fake indonesian documents. 3-5 years without being paid","Abusive working and living conditions, Withholding of wedges",0,1,0,https://fish-i-africa.org/fugitives-from-justice-the-samudera-pasific-no-8-and-berkat-menjala-no-23/,https://www.undercurrentnews.com/2014/01/29/south-africa-detains-tuna-vessels-over-slave-labor/,NA,NA,NA,NA
108,Melilla 201,518100022,7338559,Tae Jin Fisheries Co.,NA,South Korea,Cook Islands,NA,Late 2011,NA,New Zealand,NA,NA,NA,yes,NA,SFG,Yes,"Indonesian crews, unpaid wages, tricked into signing unfavorable contracts","Withholding of wages, Abusive working and living conditions",0,1,0,https://www.odt.co.nz/business/korean-trawler-seized-creditor,https://www.pri.org/stories/2012-02-28/slaves-sea-investigation-foreign-chartered-commercial-fishing-vessels-new-zealand,https://books.google.com/books?id=ij8dBQAAQBAJ&pg=PA88&lpg=PA88&dq=indah+megah+sari+forced+labor&source=bl&ots=ByZtkS6nDj&sig=FEcJrIeYryaC2qPIEtj6tm3aayY&hl=en&sa=X&ved=0ahUKEwic243Ir6TcAhUIj1QKHQj8ADAQ6AEIQTAH#v=onepage&q=melilla&f=false,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.863.6938&rep=rep1&type=pdf,NA,NA
109,Melilla 203 (today Fortunui),441044000,8514930,Tae Jin Fisheries Co.,NA,South Korea,South Korea (now New Zealand),NA,Late 2011,NA,New Zealand,NA,NA,NA,yes,NA,SFG,Yes,"Indonesian crews, unpaid wages, tricked into signing unfavorable contracts","Withholding of wages, Abusive working and living conditions",0,1,0,https://www.odt.co.nz/business/korean-trawler-seized-creditor,https://www.pri.org/stories/2012-02-28/slaves-sea-investigation-foreign-chartered-commercial-fishing-vessels-new-zealand,https://books.google.com/books?id=ij8dBQAAQBAJ&pg=PA88&lpg=PA88&dq=indah+megah+sari+forced+labor&source=bl&ots=ByZtkS6nDj&sig=FEcJrIeYryaC2qPIEtj6tm3aayY&hl=en&sa=X&ved=0ahUKEwic243Ir6TcAhUIj1QKHQj8ADAQ6AEIQTAH#v=onepage&q=melilla&f=false,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.863.6938&rep=rep1&type=pdf,https://www.iom.int/sites/default/files/country/docs/indonesia/Human-Trafficking-Forced-Labour-and-Fisheries-Crime-in-the-Indonesian-Fishing-Industry-IOM.pdf,NA
110,Bahari Nusantara,NA,NA,NA,NA,Taiwan,NA,NA,January 2014,NA,South African EEZ,Tuna,NA,NA,yes,NA,SFG,Yes,"total of 10 ships. these 8 caught in Cape Town. 75 Indonesians subject to appaling working and living conditions. Forged vessel registration. Fishers not paid for several months. Working in substandard, unsafe, unhealthy conditions. Fake indonesian documents. 3-5 years without being paid","Abusive working and living conditions, Withholding of wedges",0,1,0,https://www.undercurrentnews.com/2014/01/29/south-africa-detains-tuna-vessels-over-slave-labor/,NA,NA,NA,NA,NA
111,Bahari Nusantara No. 83 (Conlan James?),"""(645437000)",NA,NA,NA,Taiwan,Indonesia,NA,January 2014,NA,South African EEZ,Tuna,Longline,NA,yes,NA,SFG,Yes,"total of 10 ships. these 8 caught in Cape Town. 75 Indonesians subject to appaling working and living conditions. Forged vessel registration. Fishers not paid for several months. Working in substandard, unsafe, unhealthy conditions. Fake indonesian documents. 3-5 years without being paid","Abusive working and living conditions, Withholding of wedges",0,1,0,https://www.undercurrentnews.com/2014/01/29/south-africa-detains-tuna-vessels-over-slave-labor/,https://stopillegalfishing.com/trapped-at-sea/,NA,NA,NA,NA
112,Bahari Nusantara No. 19 (Chuan Lian Fa 6?),NA,NA,NA,NA,Taiwan,NA,NA,January 2014,NA,South African EEZ,Tuna,NA,NA,yes,NA,SFG,Yes,"total of 10 ships. these 8 caught in Cape Town. 75 Indonesians subject to appaling working and living conditions. Forged vessel registration. Fishers not paid for several months. Working in substandard, unsafe, unhealthy conditions. Fake indonesian documents. 3-5 years without being paid","Abusive working and living conditions, Withholding of wedges",0,1,0,https://www.undercurrentnews.com/2014/01/29/south-africa-detains-tuna-vessels-over-slave-labor/,https://stopillegalfishing.com/trapped-at-sea/,NA,NA,NA,NA
113,Bahari Nusantara No. 05 (Man Hung Shing?),NA,NA,NA,NA,Taiwan,NA,NA,January 2014,NA,South African EEZ,Tuna,NA,NA,yes,NA,SFG,Yes,"total of 10 ships. these 8 caught in Cape Town. 75 Indonesians subject to appaling working and living conditions. Forged vessel registration. Fishers not paid for several months. Working in substandard, unsafe, unhealthy conditions. Fake indonesian documents. 3-5 years without being paid","Abusive working and living conditions, Withholding of wedges",0,1,0,https://www.undercurrentnews.com/2014/01/29/south-africa-detains-tuna-vessels-over-slave-labor/,https://stopillegalfishing.com/trapped-at-sea/,NA,NA,NA,NA
114,Bahari Nusantara No. 26,NA,NA,NA,NA,Taiwan,NA,NA,January 2014,NA,South African EEZ,Tuna,NA,NA,yes,NA,SFG,Yes,"total of 10 ships. these 8 caught in Cape Town. 75 Indonesians subject to appaling working and living conditions. Forged vessel registration. Fishers not paid for several months. Working in substandard, unsafe, unhealthy conditions. Fake indonesian documents. 3-5 years without being paid","Abusive working and living conditions, Withholding of wedges",0,1,0,https://www.undercurrentnews.com/2014/01/29/south-africa-detains-tuna-vessels-over-slave-labor/,https://stopillegalfishing.com/trapped-at-sea/,NA,NA,NA,NA
115,Bintang Sumudra No. 11,NA,NA,NA,NA,Taiwan,NA,NA,January 2014,NA,South African EEZ,Tuna,NA,NA,yes,NA,SFG,Yes,"total of 10 ships. these 8 caught in Cape Town. 75 Indonesians subject to appaling working and living conditions. Forged vessel registration. Fishers not paid for several months. Working in substandard, unsafe, unhealthy conditions. Fake indonesian documents. 3-5 years without being paid","Abusive working and living conditions, Withholding of wedges",0,1,0,https://www.undercurrentnews.com/2014/01/29/south-africa-detains-tuna-vessels-over-slave-labor/,https://stopillegalfishing.com/trapped-at-sea/,NA,NA,NA,NA
116,Sumudar Gilontas No 231,NA,NA,NA,NA,Taiwan,NA,NA,January 2014,NA,South African EEZ,Tuna,NA,NA,yes,NA,SFG,Yes,"total of 10 ships. these 8 caught in Cape Town. 75 Indonesians subject to appaling working and living conditions. Forged vessel registration. Fishers not paid for several months. Working in substandard, unsafe, unhealthy conditions. Fake indonesian documents. 3-5 years without being paid","Abusive working and living conditions, Withholding of wedges",0,1,0,https://www.undercurrentnews.com/2014/01/29/south-africa-detains-tuna-vessels-over-slave-labor/,https://stopillegalfishing.com/trapped-at-sea/,NA,NA,NA,NA
